user,case,time
AF***-75PL,Paris 2023 Contenders Sticker Capsule,1698388300
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388299
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388299
SR***-5STA,Feral Predators Capsule,1698388299
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388298
AA***-WBUG,Fracture Case,1698388297
AE***-WVCN,Paris 2023 Contenders Sticker Capsule,1698388296
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388295
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388295
ST***-ZZEL,Clutch Case,1698388293
AZ***-VQUQ,CS20 Sticker Capsule,1698388293
SF***-8TVE,Recoil Case,1698388293
AH***-GWVL,Revolution Case,1698388292
SH***-BWFE,Recoil Case,1698388292
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388292
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388291
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388291
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388290
A7***-5UQA,Paris 2023 Anubis Souvenir Package,1698388290
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388288
AE***-WVCN,Paris 2023 Contenders Sticker Capsule,1698388287
SL***-ZPVL,Anubis Collection Package,1698388287
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388286
AF***-75PL,Paris 2023 Contenders Sticker Capsule,1698388285
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388285
AA***-WBUG,Paris 2023 Contenders Sticker Capsule,1698388284
AR***-W9SC,2020 RMR Legends,1698388283
AU***-ESSC,Paris 2023 Challengers Sticker Capsule,1698388282
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388281
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388281
SW***-WNWJ,Paris 2023 Contenders Sticker Capsule,1698388281
ST***-ZZEL,Clutch Case,1698388281
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388280
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388280
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388279
AE***-WVCN,Paris 2023 Contenders Sticker Capsule,1698388279
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388278
AC***-AYUN,Paris 2023 Legends Autograph Capsule,1698388278
AP***-H6UJ,Paris 2023 Legends Autograph Capsule,1698388278
AH***-GWVL,Revolution Case,1698388278
SH***-BWFE,Recoil Case,1698388277
AF***-75PL,Paris 2023 Contenders Sticker Capsule,1698388276
SL***-TSHC,Recoil Case,1698388275
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388275
AK***-65PL,Recoil Case,1698388274
SX***-8KFA,Revolution Case,1698388274
AC***-AYUN,Paris 2023 Legends Autograph Capsule,1698388272
AU***-ESSC,Paris 2023 Challengers Sticker Capsule,1698388271
AN***-J9ZA,Paris 2023 Challengers Sticker Capsule,1698388271
SW***-WNWJ,Paris 2023 Contenders Sticker Capsule,1698388270
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388270
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388270
A4***-S2UG,Paris 2023 Challengers Sticker Capsule,1698388269
AD***-CTWN,Snakebite Case,1698388269
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388269
AP***-H6UJ,Paris 2023 Legends Sticker Capsule,1698388268
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388267
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388267
SG***-VUWQ,Recoil Case,1698388265
AE***-WVCN,Paris 2023 Contenders Sticker Capsule,1698388265
AH***-GWVL,Revolution Case,1698388265
SL***-DBQQ,CS20 Sticker Capsule,1698388264
SY***-YVUA,Paris 2023 Legends Autograph Capsule,1698388264
SP***-5YVE,Horizon Case,1698388264
AC***-AYUN,Paris 2023 Legends Autograph Capsule,1698388263
SH***-JQXC,Revolution Case,1698388262
SG***-NWVE,Fracture Case,1698388262
SX***-8KFA,Revolution Case,1698388262
SH***-BWFE,Recoil Case,1698388262
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392021
S2***-ZEUL,Paris 2023 Contenders Sticker Capsule,1698392021
AE***-DAWG,Fracture Case,1698392020
SA***-4PRC,Revolution Case,1698392020
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698392020
ST***-ZZEL,Revolution Case,1698392018
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392018
AY***-UEZA,Antwerp 2022 Contenders Sticker Capsule,1698392017
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698392017
A3***-SWZJ,Rio 2022 Legends Sticker Capsule,1698392016
AP***-Y5SG,Paris 2023 Legends Sticker Capsule,1698392016
AF***-M9QJ,Recoil Case,1698392016
AV***-HCNG,Paris 2023 Legends Sticker Capsule,1698392015
SK***-3PQJ,Paris 2023 Legends Autograph Capsule,1698392015
AL***-XWSA,Paris 2023 Contenders Sticker Capsule,1698392015
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698392014
S8***-U7VL,Paris 2023 Contenders Sticker Capsule,1698392014
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392013
A3***-6ESA,Dreams & Nightmares Case,1698392013
S5***-VPTA,Dreams & Nightmares Case,1698392013
AJ***-38YL,Paris 2023 Contenders Sticker Capsule,1698392013
AC***-XCTG,Revolution Case,1698392012
A6***-CPXJ,Dreams & Nightmares Case,1698392012
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698392012
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392011
SF***-B7PJ,Revolution Case,1698392011
S3***-4DUA,Chroma 3 Case,1698392011
SX***-GZPQ,Dreams & Nightmares Case,1698392010
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392009
A3***-SWZJ,Rio 2022 Legends Sticker Capsule,1698392009
AP***-Y5SG,Paris 2023 Legends Sticker Capsule,1698392009
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698392009
SA***-4PRC,Snakebite Case,1698392008
S2***-ZEUL,Paris 2023 Contenders Sticker Capsule,1698392008
SK***-MDYE,Clutch Case,1698392008
SY***-P8WJ,Paris 2023 Contenders Autograph Capsule,1698392008
ST***-ZZEL,Revolution Case,1698392008
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392007
AY***-UEZA,Antwerp 2022 Contenders Sticker Capsule,1698392006
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698392005
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392005
S3***-4DUA,Chroma 3 Case,1698392004
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698392003
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392003
SK***-3PQJ,Paris 2023 Legends Autograph Capsule,1698392003
SA***-UKUN,Berlin 2019 Minor Challengers (Holo/Foil),1698392002
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698392002
S3***-VBEC,Fracture Case,1698392002
S3***-4DUA,Chroma 3 Case,1698392002
AP***-Y5SG,Paris 2023 Legends Sticker Capsule,1698392001
A3***-6ESA,Dreams & Nightmares Case,1698392001
SY***-5PYN,Anubis Collection Package,1698392000
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698392000
A3***-SWZJ,Rio 2022 Legends Sticker Capsule,1698392000
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698392000
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391999
S3***-4DUA,Chroma 3 Case,1698391999
AJ***-38YL,Paris 2023 Contenders Sticker Capsule,1698391998
ST***-ZZEL,Revolution Case,1698391998
AY***-UEZA,Antwerp 2022 Contenders Sticker Capsule,1698391998
AC***-XCTG,Fracture Case,1698391998
S2***-ZEUL,Paris 2023 Contenders Sticker Capsule,1698391998
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391997
S3***-4DUA,Chroma 3 Case,1698391996
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391996
S8***-U7VL,Paris 2023 Legends Autograph Capsule,1698391996
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391994
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698391994
AP***-Y5SG,Paris 2023 Legends Sticker Capsule,1698391994
S3***-4DUA,Chroma 3 Case,1698391994
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391993
AY***-TQYL,Clutch Case,1698391993
SA***-4PRC,Recoil Case,1698391993
SU***-N7TN,Paris 2023 Legends Sticker Capsule,1698391993
S3***-4DUA,Chroma 3 Case,1698391991
A3***-CKZQ,Paris 2023 Legends Autograph Capsule,1698391991
S3***-VBEC,Fracture Case,1698391990
AL***-XWSA,Paris 2023 Contenders Sticker Capsule,1698391990
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391990
S3***-4DUA,Chroma 3 Case,1698391988
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391988
ST***-ZZEL,Revolution Case,1698391987
AF***-SKUJ,Paris 2023 Contenders Sticker Capsule,1698391987
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391986
AY***-UEZA,Antwerp 2022 Contenders Sticker Capsule,1698391986
S8***-U7VL,Paris 2023 Contenders Sticker Capsule,1698391986
SF***-VGBJ,Anubis Collection Package,1698391986
AP***-Y5SG,Paris 2023 Legends Sticker Capsule,1698391986
S3***-4DUA,Chroma 3 Case,1698391986
SF***-B7PJ,Revolution Case,1698391985
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391985
S2***-ZEUL,Paris 2023 Contenders Sticker Capsule,1698391984
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698391984
S3***-4DUA,Chroma 3 Case,1698391983
SC***-3KXQ,Prisma 2 Case,1698391983
SQ***-6RXG,Paris 2023 Challengers Autograph Capsule,1698391982
AJ***-38YL,Paris 2023 Contenders Sticker Capsule,1698391982
A4***-V4GC,Revolution Case,1698391982
SU***-N7TN,Paris 2023 Legends Sticker Capsule,1698391982
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391982
AF***-SKUJ,Paris 2023 Contenders Sticker Capsule,1698391982
AB***-CPGQ,Anubis Collection Package,1698391982
A3***-CKZQ,Paris 2023 Legends Autograph Capsule,1698391982
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698391981
ST***-ZZEL,Revolution Case,1698391981
SA***-4PRC,Recoil Case,1698391980
SH***-78PQ,Huntsman Weapon Case,1698391980
AL***-XWSA,Paris 2023 Contenders Sticker Capsule,1698391980
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391980
A2***-EUUC,Snakebite Case,1698391979
S3***-VBEC,Fracture Case,1698391978
S3***-4DUA,Chroma 3 Case,1698391978
AY***-UEZA,Antwerp 2022 Contenders Sticker Capsule,1698391977
A6***-LVUA,Anubis Collection Package,1698391977
AF***-5RZE,Anubis Collection Package,1698391976
S2***-ZCXL,Paris 2023 Contenders Sticker Capsule,1698391976
AF***-SKUJ,Paris 2023 Contenders Sticker Capsule,1698391976
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391976
SK***-D2TG,Dreams & Nightmares Case,1698391974
S3***-4DUA,Chroma 3 Case,1698391974
S8***-U7VL,Paris 2023 Contenders Sticker Capsule,1698391974
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391973
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698391973
SF***-33PJ,StatTrak™ Initiators Music Kit Box,1698391972
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698391972
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391972
A3***-CKZQ,Paris 2023 Legends Autograph Capsule,1698391971
SQ***-6RXG,Paris 2023 Challengers Autograph Capsule,1698391971
AL***-XWSA,Paris 2023 Contenders Sticker Capsule,1698391971
AJ***-38YL,Paris 2023 Contenders Sticker Capsule,1698391971
SB***-XDTE,Paris 2023 Contenders Sticker Capsule,1698391971
SL***-CXSN,10 Year Birthday Sticker Capsule,1698391971
SF***-VGBJ,Anubis Collection Package,1698391970
AG***-7QNE,Clutch Case,1698391970
AY***-UEZA,Antwerp 2022 Contenders Sticker Capsule,1698391968
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698391967
S8***-VSGC,Snakebite Case,1698391966
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391966
S2***-ZEUL,Paris 2023 Contenders Sticker Capsule,1698391966
SA***-4PRC,Revolution Case,1698391965
AA***-AFTN,Enfu Sticker Capsule,1698391965
S8***-U7VL,Paris 2023 Legends Autograph Capsule,1698391963
AL***-XWSA,Paris 2023 Contenders Sticker Capsule,1698391962
SX***-8DUL,Paris 2023 Contenders Sticker Capsule,1698391962
AY***-P4SC,Paris 2023 Challengers Sticker Capsule,1698391962
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391962
SQ***-6RXG,Paris 2023 Challengers Autograph Capsule,1698391961
SB***-XDTE,Paris 2023 Contenders Sticker Capsule,1698391961
ST***-ZZEL,Revolution Case,1698391961
SF***-TKHC,Battlefield 2042 Sticker Capsule,1698391961
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698391960
SC***-RPTE,Recoil Case,1698391959
AQ***-YAVG,Spectrum Case,1698391958
S2***-ZEUL,Paris 2023 Contenders Sticker Capsule,1698391958
SX***-GZPQ,Paris 2023 Legends Sticker Capsule,1698391957
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391957
AF***-5RZE,Anubis Collection Package,1698391956
AA***-AFTN,Enfu Sticker Capsule,1698391955
S8***-U7VL,Paris 2023 Contenders Sticker Capsule,1698391954
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391954
A6***-PAWL,Recoil Case,1698391953
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391953
SF***-VGBJ,Anubis Collection Package,1698391953
SH***-78PQ,Huntsman Weapon Case,1698391953
AL***-XWSA,Paris 2023 Contenders Sticker Capsule,1698391953
SQ***-6RXG,Paris 2023 Challengers Autograph Capsule,1698391952
SB***-XDTE,Paris 2023 Contenders Sticker Capsule,1698391951
AY***-HLVQ,Dreams & Nightmares Case,1698391950
SX***-GZPQ,Paris 2023 Legends Sticker Capsule,1698391950
SZ***-KQQE,Anubis Collection Package,1698391949
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391948
ST***-ZZEL,Revolution Case,1698391948
SY***-5PYN,10 Year Birthday Sticker Capsule,1698391948
SC***-RPTE,Recoil Case,1698391947
S8***-2CSC,Paris 2023 Legends Sticker Capsule,1698391947
A3***-V7FE,Paris 2023 Challengers Sticker Capsule,1698391946
SZ***-R9FQ,Paris 2023 Contenders Sticker Capsule,1698391946
SX***-GZPQ,Paris 2023 Legends Sticker Capsule,1698391946
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391945
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698391945
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391944
SX***-GZPQ,Paris 2023 Legends Sticker Capsule,1698391944
SQ***-6RXG,Paris 2023 Challengers Autograph Capsule,1698391944
SH***-78PQ,Huntsman Weapon Case,1698391942
SB***-XDTE,Paris 2023 Contenders Sticker Capsule,1698391942
SZ***-R9FQ,Paris 2023 Contenders Sticker Capsule,1698391939
AD***-P4QG,Paris 2023 Contenders Autograph Capsule,1698391939
ST***-ZZEL,Revolution Case,1698391938
S8***-U7VL,Paris 2023 Contenders Sticker Capsule,1698391937
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698391937
SX***-GZPQ,Paris 2023 Legends Sticker Capsule,1698391937
AQ***-YAVG,Spectrum Case,1698391936
SC***-RPTE,Recoil Case,1698391936
A4***-HWQN,Paris 2023 Contenders Sticker Capsule,1698391935
S2***-RZUG,Rio 2022 Dust II Souvenir Package,1698391934
AU***-YWFN,Fracture Case,1698391934
S5***-QDPL,Paris 2023 Contenders Sticker Capsule,1698391934
A3***-V7FE,Paris 2023 Challengers Sticker Capsule,1698391934
SB***-UXEL,Revolution Case,1698391933
SU***-83YE,Paris 2023 Contenders Sticker Capsule,1698391932
SL***-DKSQ,Paris 2023 Challengers Autograph Capsule,1698396277
S9***-J4ZL,Paris 2023 Contenders Autograph Capsule,1698396277
SG***-PJHN,Paris 2023 Contenders Sticker Capsule,1698396277
AB***-5YUA,Paris 2023 Contenders Sticker Capsule,1698396276
A9***-7QPA,Snakebite Case,1698396276
SW***-YPGQ,Paris 2023 Legends Sticker Capsule,1698396275
SA***-LBZC,Dreams & Nightmares Case,1698396275
SK***-PRVQ,Snakebite Case,1698396275
SB***-WKGE,Paris 2023 Legends Sticker Capsule,1698396275
S9***-J4ZL,Paris 2023 Contenders Autograph Capsule,1698396274
SG***-PJHN,Paris 2023 Contenders Sticker Capsule,1698396274
SV***-S5RL,Falchion Case,1698396274
SG***-FKVN,Paris 2023 Anubis Souvenir Package,1698396273
S7***-THSJ,Paris 2023 Legends Sticker Capsule,1698396273
AC***-89DJ,Spectrum Case,1698396272
AU***-A2VQ,Paris 2023 Contenders Sticker Capsule,1698396272
AS***-NHTE,Paris 2023 Challengers Sticker Capsule,1698396271
S9***-J4ZL,Paris 2023 Contenders Autograph Capsule,1698396271
SH***-Z5XQ,Paris 2023 Legends Sticker Capsule,1698396271
SC***-QQEE,Paris 2023 Contenders Sticker Capsule,1698396271
AD***-AHUJ,Anubis Collection Package,1698396270
AY***-AHQQ,Recoil Case,1698396270
SH***-9HNL,Paris 2023 Legends Sticker Capsule,1698396270
SG***-PJHN,Paris 2023 Contenders Sticker Capsule,1698396270
SQ***-L2XA,Paris 2023 Challengers Autograph Capsule,1698396270
S5***-4UTN,Paris 2023 Legends Sticker Capsule,1698396269
A7***-QUVE,Paris 2023 Contenders Autograph Capsule,1698396269
A5***-36YE,Revolution Case,1698396269
S9***-J4ZL,Paris 2023 Contenders Autograph Capsule,1698396268
SA***-7DUA,Anubis Collection Package,1698396268
AY***-NNZL,Dreams & Nightmares Case,1698396268
SL***-DKSQ,Paris 2023 Challengers Autograph Capsule,1698396268
AT***-RUVA,Paris 2023 Legends Autograph Capsule,1698396268
AB***-5YUA,Paris 2023 Contenders Sticker Capsule,1698396267
SP***-PTNC,Paris 2023 Contenders Sticker Capsule,1698396267
SG***-PJHN,Paris 2023 Contenders Sticker Capsule,1698396266
SW***-YPGQ,Paris 2023 Legends Sticker Capsule,1698396266
S9***-J4ZL,Paris 2023 Contenders Autograph Capsule,1698396266
SB***-WKGE,Paris 2023 Legends Sticker Capsule,1698396266
A7***-9KZN,Paris 2023 Challengers Sticker Capsule,1698396265
SA***-TFVA,Paris 2023 Contenders Sticker Capsule,1698396265
SK***-PRVQ,Snakebite Case,1698396265
SK***-GXVQ,Paris 2023 Challengers Sticker Capsule,1698396264
AS***-UNSG,Paris 2023 Challengers Sticker Capsule,1698396264
SD***-WHGG,10 Year Birthday Sticker Capsule,1698396264
AU***-A2VQ,Paris 2023 Contenders Sticker Capsule,1698396263
SC***-QQEE,Paris 2023 Contenders Sticker Capsule,1698396263
S9***-J4ZL,Paris 2023 Contenders Autograph Capsule,1698396263
SG***-PJHN,Paris 2023 Contenders Sticker Capsule,1698396263
SL***-TKWQ,Snakebite Case,1698396262
S5***-N5UA,Rio 2022 Contenders Sticker Capsule,1698396262
A7***-4MBC,Snakebite Case,1698396261
SH***-Z5XQ,Paris 2023 Legends Sticker Capsule,1698396261
AS***-NHTE,Paris 2023 Challengers Sticker Capsule,1698396260
AH***-JVUJ,Paris 2023 Anubis Souvenir Package,1698396260
SK***-PRVQ,Snakebite Case,1698396260
AW***-L7SJ,Halo Capsule,1698396259
AL***-66DL,Recoil Case,1698396259
